chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr21	1	11890183	0.0000	0	0.0000	1.0000	TELOMERE	CENTROMERE	LONG_ARM	3	0.3630	1	1	0.0000	0.0000
chr21	11890184	13304625	0.0000	0	0.0000	1.0000	CENTROMERE	DUP	STRUCTURAL_VARIANT	0	0.0000	11890184	11890184	0.0000	0.0000
chr21	13304626	13304700	2.3823	0	0.0000	0.6608	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13304626	13304626	0.8081	1.5743
chr21	13304701	13305416	4.9289	0	0.0000	0.8361	DUP	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	13304701	13304701	0.8081	4.1208
chr21	13305417	13306750	2.5659	0	0.0000	0.6851	MULTIPLE	DUP	STRUCTURAL_VARIANT	0	0.0000	13305417	13305417	0.8081	1.7579
chr21	13306751	13307050	5.0547	0	0.0000	0.8401	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13306751	13306751	0.8081	4.2466
chr21	13307051	13307401	2.5770	0	0.0000	0.6864	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13307051	13307051	0.8081	1.7689
chr21	13307402	13307801	3.6569	0	0.0000	0.7790	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13307402	13307402	0.8081	2.8488
chr21	13307802	13308749	2.6255	0	0.0000	0.6922	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13307802	13307802	0.8081	1.8175
chr21	13308750	13308751	4.3050	0	0.0000	0.8123	DUP	SGL	STRUCTURAL_VARIANT	0	0.0000	13308750	13308750	0.8081	3.4970
chr21	13308752	13309299	3.5487	0	0.0000	0.7723	SGL	DUP	STRUCTURAL_VARIANT	0	0.0000	13308752	13308752	0.8081	2.7406
chr21	13309300	13312273	1.6109	0	0.0000	0.5016	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13309300	13309300	0.8029	0.8081
chr21	13312274	13313801	3.3311	0	0.0000	0.7574	DUP	DUP	STRUCTURAL_VARIANT	0	0.0000	13312274	13312274	0.8081	2.5230
chr21	13313802	24114000	1.8451	2252	0.5423	0.5620	DUP	NONE	BAF_WEIGHTED	9641	0.3583	13313802	13313802	0.8081	1.0370
chr21	24114001	46709983	2.5321	5407	0.5413	0.5994	NONE	TELOMERE	BAF_WEIGHTED	20310	0.4267	24114001	24114001	1.0143	1.5178
