chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr21	1	11890183	1.8466	0	0.0000	0.5618	TELOMERE	CENTROMERE	LONG_ARM	0	0.0000	1	1	0.8091	1.0375
chr21	11890184	24114000	1.8466	2252	0.5423	0.5618	CENTROMERE	NONE	BAF_WEIGHTED	9641	0.3583	11890184	11890184	0.8091	1.0375
chr21	24114001	42541979	2.4737	4661	0.5413	0.5902	NONE	MULTIPLE	BAF_WEIGHTED	17464	0.4133	24114001	24114001	1.0137	1.4601
chr21	42541980	42542290	0.0000	0	0.0000	1.0000	MULTIPLE	DEL	STRUCTURAL_VARIANT	0	0.0000	42541980	42541980	0.0000	0.0000
chr21	42542291	42542590	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542291	42542291	0.0000	0.0000
chr21	42542591	42542591	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542591	42542591	0.0000	0.0000
chr21	42542592	42542940	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542592	42542592	0.0000	0.0000
chr21	42542941	42542941	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542941	42542941	0.0000	0.0000
chr21	42542942	42542965	0.0119	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542942	42542942	0.0000	0.0119
chr21	42542966	42543040	0.8859	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42542966	42542966	0.0000	0.8859
chr21	42543041	42543340	3.4454	0	0.0000	0.7058	DEL	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	42543041	42543041	1.0137	2.4317
chr21	42543341	42543790	5.8707	0	0.0000	0.8273	MULTIPLE	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	42543341	42543341	1.0137	4.8571
chr21	42543791	42544290	6.0314	0	0.0000	0.8319	MULTIPLE	DEL	STRUCTURAL_VARIANT	0	0.0000	42543791	42543791	1.0137	5.0178
chr21	42544291	42544840	7.5342	0	0.0000	0.8655	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42544291	42544291	1.0137	6.5205
chr21	42544841	42545440	2.8751	0	0.0000	0.6474	DEL	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	42544841	42544841	1.0137	1.8614
chr21	42545441	42546090	1.4833	0	0.0000	0.6834	MULTIPLE	DEL	STRUCTURAL_VARIANT	0	0.0000	42545441	42545441	0.4696	1.0137
chr21	42546091	42546790	3.7658	0	0.0000	0.7308	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42546091	42546091	1.0137	2.7521
chr21	42546791	42547539	2.6042	0	0.0000	0.6107	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42546791	42546791	1.0137	1.5905
chr21	42547540	42547540	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42547540	42547540	0.0000	0.0000
chr21	42547541	42548339	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42547541	42547541	0.0000	0.0000
chr21	42548340	42548342	0.7849	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42548340	42548340	0.0000	0.7849
chr21	42548343	42549190	0.7220	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42548343	42548343	0.0000	0.7220
chr21	42549191	42549192	0.0000	0	0.0000	1.0000	DEL	DEL	STRUCTURAL_VARIANT	0	0.0000	42549191	42549191	0.0000	0.0000
chr21	42549193	42550090	0.0000	0	0.0000	1.0000	DEL	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	42549193	42549193	0.0000	0.0000
chr21	42550091	42551040	0.0000	0	0.0000	1.0000	MULTIPLE	MULTIPLE	STRUCTURAL_VARIANT	0	0.0000	42550091	42550091	0.0000	0.0000
chr21	42551041	42552040	0.3989	0	0.0000	1.0000	MULTIPLE	DEL	STRUCTURAL_VARIANT	0	0.0000	42551041	42551041	0.0000	0.3989
chr21	42552041	46709983	2.9003	745	0.5415	0.6599	DEL	TELOMERE	BAF_WEIGHTED	2834	0.5087	42552041	42552041	0.9863	1.9141
